,fast,slow,sig,delay,numSell,exposure,drawdown,winLoss,value,zzz
17,11,23,5,2,12,0.587866109,-0.08850666,3,12798.83,11-23-5-2
51,13,14,11,4,6,0.569037657,-0.057035472,inf,12792.675,13-14-11-4
26,9,15,11,3,11,0.585774059,-0.07666548,4.5,12792.57,9-15-11-3
54,9,19,5,3,10,0.569037657,-0.06311951,inf,12791.3,9-19-5-3
8,9,15,3,1,15,0.564853556,-0.08850666,6.5,12789.91,9-15-3-1
0,9,14,9,1,14,0.564853556,-0.08408547,6,12787,9-14-9-1
66,7,8,5,1,20,0.491631799,-0.082381288,4,12786.02,7-8-5-1
13,13,20,11,4,9,0.642259414,-0.08850666,8,12782.38,13-20-11-4
41,11,16,7,4,8,0.583682008,-0.056232267,7,12776.06,11-16-7-4
34,11,16,5,1,15,0.564853556,-0.08408547,6.5,12769.65,11-16-5-1
2,13,20,7,1,12,0.594142259,-0.08850666,3,12767.31,13-20-7-1
37,11,16,5,4,6,0.4958159,-0.050465491,5,12764.62,11-16-5-4
11,9,15,3,4,4,0.468619247,-0.050480252,inf,12761.3,9-15-3-4
16,13,22,3,3,7,0.755230126,-0.08850666,6,12759.23,13-22-3-3
73,11,12,5,2,14,0.514644351,-0.08850666,6,12755.7,11-12-5-2
0,13,20,5,3,11,0.642259414,-0.08850666,4.5,12750.41,13-20-5-3
20,9,15,9,1,14,0.558577406,-0.08408547,6,12743.49,9-15-9-1
73,13,20,3,2,13,0.566945607,-0.07666548,3.333333333,12743.17,13-20-3-2
28,11,14,11,3,11,0.606694561,-0.07666548,4.5,12740.71,11-14-11-3
70,11,21,3,1,13,0.552301255,-0.08850666,12,12738.45,11-21-3-1
47,9,12,3,2,16,0.523012552,-0.08850666,7,12734.29,9-12-3-2
58,9,12,9,1,14,0.558577406,-0.08408547,6,12734.11,9-12-9-1
34,9,17,5,3,10,0.533472803,-0.058313529,inf,12733.83,9-17-5-3
20,11,23,7,1,11,0.556485356,-0.08850666,4.5,12719.04,11-23-7-1
76,3,6,11,1,17,0.491631799,-0.07666548,7.5,12712.07,3-6-11-1
36,9,17,7,1,14,0.541841004,-0.08408547,6,12703.38,9-17-7-1
4,11,12,9,3,12,0.531380753,-0.077831711,5,12692.61,11-12-9-3
68,7,8,5,3,5,0.382845188,-0.040636277,inf,12688.58,7-8-5-3
74,11,12,5,3,10,0.510460251,-0.08408547,9,12687.6,11-12-5-3
12,13,20,11,3,9,0.617154812,-0.08850666,8,12684.3,13-20-11-3
21,11,23,7,2,11,0.556485356,-0.08408547,4.5,12679.215,11-23-7-2
62,13,17,7,3,12,0.621338912,-0.058181101,5,12677.92,13-17-7-3
32,13,22,11,3,9,0.60251046,-0.08850666,8,12676.2,13-22-11-3
7,5,6,5,2,15,0.556485356,-0.057487993,14,12675.5138,5-6-5-2
17,11,14,5,4,3,0.60041841,-0.07666548,inf,12674.47,11-14-5-4
39,13,14,5,4,3,0.629707113,-0.061157872,inf,12673.99,13-14-5-4
44,11,16,9,3,12,0.642259414,-0.07666548,3,12667.61,11-16-9-3
27,9,15,11,4,9,0.523012552,-0.056315338,inf,12666.43,9-15-11-4
38,5,8,11,1,15,0.516736402,-0.08850666,4,12663.84,5-8-11-1
56,13,27,3,3,8,0.437238494,-0.08850666,7,12661.4,13-27-3-3
